Sample.Name,Mineralogy,Material,N,D47,D47error,Temperature,TempError,Temperature_original,TempError_original
141210_4_UWcp14_20C_DS,C,1,1,0.7022,NA,11.17434268,0.054337345,26,0.73
141210_5_UWcp14_50C_DS,C,1,1,0.6271,NA,9.28656671,0.018085389,55,0.32
141210_6_UWcp14_50C_DS,C,1,1,0.6093,NA,9.28656671,0.018085389,55,0.32
141210_7_UWcp14_80C_DS,A,1,1,0.5612,NA,7.752615737,0.001726592,86,0.04
141210_8_UWcp14_70C_DS2,A,1,1,0.5671,NA,8.394295329,0.018453264,72,0.38
141210_9_UWcp14_80C_3,A,1,1,0.5442,NA,8.018286665,0.028983645,80,0.64
141212_4_UWcp14_8C_2,C,1,1,0.7947,NA,12.56145338,0.010678102,9,0.12
141212_5_UWcp14_8C_3,C,1,1,0.7588,NA,12.56145338,0.010678102,9,0.12
141212_6_UWcp14_8C_3,C,1,1,0.7179,NA,12.56145338,0.010678102,9,0.12
141212_7_UWcp14_8C_3,C,1,1,0.7612,NA,12.56145338,0.010678102,9,0.12
141212_8_UWcp14_50C_CA_10,C,1,1,0.6154,NA,9.576166301,0.043707851,50,0.74
141212_9_UWcp14_50C_CA_9,C,1,1,0.6197,NA,9.635710173,0.031627199,49,0.53
141217_3_UWcp14_50C_DS,C,1,1,0.616,NA,9.28656671,0.018085389,55,0.32
141217_4_UWcp14_50C_DS2,C,1,1,0.607,NA,9.517172655,0.017591813,51,0.3
141217_5_UWcp14_20C_DS,C,1,1,0.7343,NA,11.17434268,0.054337345,26,0.73
141218_4_UWcp14_4C_1,C,1,1,0.7529,NA,12.8328978,0.004595899,6,0.05
141218_5_UWcp14_4C_1,C,1,1,0.7478,NA,12.8328978,0.004595899,6,0.05
141218_6_UWcp14_3C_2,unkn,1,1,0.7702,NA,12.56145338,0.147388562,9,1.67
141218_7_UWcp14_3C_2,unkn,1,1,0.7586,NA,12.56145338,0.147388562,9,1.67
150112_3_80C_1,C,1,1,0.5752,NA,8.156272717,0.016745601,77,0.36
150112_4_4C_2,C,1,1,0.6686,NA,12.8328978,0.004595899,6,0.05
150112_5_4C_2,C,1,1,0.8363,NA,12.8328978,0.004595899,6,0.05
150112_8_50C_1,C,1,1,0.6074,NA,9.75647616,0.021904832,47,0.36
150113_3_21C_1,C,1,1,0.7142,NA,11.47927407,0.017093813,22,0.22
150116_4_21C_1,C,1,1,0.6864,NA,11.47927407,0.017093813,22,0.22
150116_5_21C_1,C,1,1,0.7086,NA,11.47927407,0.017093813,22,0.22
150113_6_70C_DS2,A,1,1,0.6019,NA,8.394295329,0.018453264,72,0.38
150114_2_50C_1,C,1,1,0.6103,NA,9.75647616,0.021904832,47,0.36
150114_4_20C_9,C,1,1,0.6881,NA,11.40188158,0.025367829,23,0.33
150114_5_50C_5,C,1,1,0.6215,NA,9.695811136,0.046327323,48,0.77
150114_6_70C_CA_4,C,1,1,0.5793,NA,8.443148975,0.048853645,71,1
150115_5_20C_9,C,1,1,0.657,NA,11.40188158,0.025367829,23,0.33
150115_6_20C_9,C,1,1,0.7007,NA,11.40188158,0.025367829,23,0.33
150116_2_80C_1,C,1,1,0.5466,NA,8.156272717,0.016745601,77,0.36
150116_3_80C_1,C,1,1,0.5458,NA,8.156272717,0.016745601,77,0.36
150116_6_50C_5,C,1,1,0.6419,NA,9.695811136,0.046327323,48,0.77
